Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
2018179.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.98	29902	29902	1	1	1070.16
2018180.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.98	29902	29902	1	1	3588.39
2018181.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.95	29902	29902	1	1	769.18
2018183.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.95	29903	29903	1	1	2916.10
2018184.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.01	29903	29903	1	1	9199.75
2018186.consensus	1	1	1	1	1	0	29896	29896	29896	29896	29896	0	1	29896	29896	38.17	29896	29896	1	1	20832.22
2018188.consensus	1	1	1	1	1	0	29896	29896	29896	29896	29896	0	1	29896	29896	38.02	29896	29896	1	1	32766.93
2018189.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.23	29884	29884	1	1	19374.92
2018190.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.13	29884	29884	1	1	20254.99
2018194.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.95	29903	29903	1	1	949.74
2018195.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.14	29887	29887	1	1	15555.26
2018196.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	2248.69
2018197.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.99	29887	29887	1	1	5564.29
210007.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.25	29893	29893	1	1	22851.50
210008.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	3068.53
210009.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	2208.54
210011.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.89	29887	29887	1	1	11767.66
210012.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	3439.97
210013.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.96	29887	29887	1	1	11198.85
210031.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	2021.15
210032.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	977.11
210033.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	465.13
210034.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	977.11
210038.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	712.76
210047.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	1519.21
210062.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.00	29903	29903	1	1	4109.96
210065.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	7298.22
210066.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	2355.78
210076.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.93	29887	29887	1	1	5507.41
210077.consensus	1	1	1	1	1	0	29894	29894	29894	29894	29894	0	1	29894	29894	38.81	29894	29894	1	1	36425.37
210078.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.96	29903	29903	1	1	3701.97
210079.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.32	29903	29903	1	1	35668.66
210080.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.01	29903	29903	1	1	441.43
210081.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	2275.47
210083.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.60	29903	29903	1	1	37798.88
210086.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.00	29903	29903	1	1	28783.07
210089.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.92	29903	29903	1	1	7300.27
210090.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.07	29903	29903	1	1	7256.80
210091.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.02	29903	29903	1	1	7765.11
210093.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.02	29903	29903	1	1	6099.72
210094.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.93	29903	29903	1	1	1598.50
210095.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.09	29903	29903	1	1	8955.62
210096.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.95	29903	29903	1	1	976.49
210097.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.08	29903	29903	1	1	14811.22
210099.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.95	29903	29903	1	1	1404.54
210108.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.02	29887	29887	1	1	10181.68
210135.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	1163.76
210136.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.96	29903	29903	1	1	926.33
210138.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.06	29903	29903	1	1	23315.39
210139.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.91	29887	29887	1	1	4199.15
210140.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.01	29903	29903	1	1	7500.92
210141.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.00	29903	29903	1	1	8390.46
210142.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	3811.40
210143.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.11	29884	29884	1	1	19552.27
210144.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	4945.79
210145.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	977.11
210147.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.15	29884	29884	1	1	13060.50
210148.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	4112.57
210152.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	4537.55
210153.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	1060.77
210154.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.05	29887	29887	1	1	16298.06
210155.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	4728.62
210156.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.01	29903	29903	1	1	4400.90
210159.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	2011.11
210160.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.97	29903	29903	1	1	976.49
210186.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.10	29903	29903	1	1	20238.77
210189.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.08	29903	29903	1	1	12249.61
210190.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.93	29903	29903	1	1	2394.41
210198.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.12	29903	29903	1	1	13256.20
210202.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	977.11
210203.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	18919.82
210207.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	14131.31
210208.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.11	29884	29884	1	1	19057.02
210214.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.95	29903	29903	1	1	6367.25
210220.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.07	29903	29903	1	1	7490.89
210235.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	9630.57
210237.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	5748.90
210239.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.03	29903	29903	1	1	8564.36
210240.consensus	1	1	1	1	1	0	29900	29900	29900	29900	29900	0	1	29900	29900	38.05	29900	29900	1	1	11548.49
210241.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	977.11
210276.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	16610.90
210279.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	1703.25
210281.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.02	29903	29903	1	1	17433.03
210282.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	1509.17
210283.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.94	29887	29887	1	1	6022.69
210288.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	23136.13
210290.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	8526.30
210292.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.96	29887	29887	1	1	11858.00
210294.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	5263.69
210295.consensus	1	1	1	1	1	0	29883	29883	29883	29883	29883	0	1	29883	29883	37.96	29883	29883	1	1	10266.71
210296.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	10216.17
210297.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.85	29884	29884	1	1	3978.72
210298.consensus	1	1	1	1	1	0	29897	29897	29897	29897	29897	0	1	29897	29897	37.97	29897	29897	1	1	1093.76
210354.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	565.52
210355.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	16443.58
210356.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	8516.26
210357.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	7773.39
210358.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	6327.80
210377.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	4647.97
210383.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.04	29884	29884	1	1	13117.39
210384.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.96	29887	29887	1	1	1519.06
210385.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	602.33
210386.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	977.11
210387.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	803.11
210389.consensus	1	1	1	1	1	0	29896	29896	29896	29896	29896	0	1	29896	29896	37.94	29896	29896	1	1	2130.72
210390.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.01	29887	29887	1	1	10215.14
210391.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.08	29887	29887	1	1	12824.97
210392.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.95	29887	29887	1	1	803.02
210393.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	1137.73
210397.consensus	1	1	1	1	1	0	29883	29883	29883	29883	29883	0	1	29883	29883	37.95	29883	29883	1	1	712.78
210399.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	1194.62
210400.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	2131.58
210401.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.99	29903	29903	1	1	5036.28
210402.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.95	29903	29903	1	1	2250.61
210403.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.12	29903	29903	1	1	15329.57
210405.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.03	29903	29903	1	1	7306.96
210406.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.01	29903	29903	1	1	9092.73
210407.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.07	29903	29903	1	1	10065.88
210408.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.01	29903	29903	1	1	16463.23
210409.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.97	29903	29903	1	1	6447.51
210410.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.86	29903	29903	1	1	6678.26
210412.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.94	29903	29903	1	1	6089.69
210413.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	2165.04
210414.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	1348.55
210415.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	7107.48
210416.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	726.14
210417.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.94	29887	29887	1	1	799.68
210418.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	6488.42
210419.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	2389.24
210448.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	856.10
210454.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.12	29903	29903	1	1	10734.71
210545.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.06	29903	29903	1	1	8567.70
210546.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.00	29903	29903	1	1	1317.59
210547.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.99	29903	29903	1	1	779.19
210548.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.96	29903	29903	1	1	4096.58
210552.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.07	29903	29903	1	1	8323.58
210560.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.98	29887	29887	1	1	17813.77
210561.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.04	29887	29887	1	1	12393.35
210562.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	6224.07
210563.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	799.76
210565.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.93	29887	29887	1	1	7508.28
210566.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	575.56
210568.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	15222.19
210569.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	2057.96
210570.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.08	29887	29887	1	1	10720.38
210571.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	8640.07
210572.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.93	29887	29887	1	1	6708.60
210573.consensus	1	1	1	1	1	0	29885	29885	29885	29885	29885	0	1	29885	29885	38.03	29885	29885	1	1	22874.35
210574.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	1064.11
210575.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	3409.85
210577.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	685.99
210578.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	1870.57
210579.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	2004.42
210580.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	803.11
210584.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.92	29887	29887	1	1	4784.69
210586.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.08	29884	29884	1	1	10179.36
210587.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	873.38
210590.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.94	29887	29887	1	1	1067.35
210595.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	4791.86
210597.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	1970.95
210598.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	1793.60
210602.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.99	29903	29903	1	1	2665.28
210603.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.97	29887	29887	1	1	2747.01
210604.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	424.98
210605.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	404.90
210606.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	682.64
210610.consensus	1	1	1	1	1	0	29883	29883	29883	29883	29883	0	1	29883	29883	38.00	29883	29883	1	1	562.19
210613.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	538.75
210614.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	629.10
210615.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	609.02
210616.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	284.43
210617.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	746.22
210618.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	1000.54
210620.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.94	29887	29887	1	1	4195.80
210621.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	552.13
210622.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.96	29903	29903	1	1	725.68
210623.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	411.59
210657.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.04	29903	29903	1	1	6373.94
210659.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.00	29903	29903	1	1	558.47
210698.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	481.86
210699.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	281.09
210701.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	498.59
210703.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	25304.51
210704.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.89	29903	29903	1	1	5213.52
210705.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.92	29887	29887	1	1	3265.63
210706.consensus	1	1	1	1	1	0	29894	29894	29894	29894	29894	0	1	29894	29894	37.97	29894	29894	1	1	7409.51
210707.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.97	29887	29887	1	1	3215.44
